Code,Branch Name
ALB,Alberton Public Library
ISJ,Bibliothèque publique Dr.-J.-Edmond-Arsenault
JHB,Bibliothèque publique J.-Henri-Blanchard
ABV,Bibliothèque publique d'Abram-Village
BOR,Borden-Carleton Public Library
BRE,Breadalbane Public Library
CHA,Confederation Centre Public Library
COR,Cornwall Public Library
CRA,Crapaud Public Library
GEO,Georgetown Genevieve Soloman Memorial Library
GSL,Government Services Library
HUN,Hunter River Memorial Library
KEN,Kensington Heritage Library
KIN,Kinkora Public Library
MON,Montague Rotary Library
MOR,Morell Public Library
MTS,Mount Stewart Public Library
MYH,Murray Harbour Public Library
MYR,Murray River Leona Giddings Memorial Library
OLE,O'Leary Public Library
PAR,Public Archives and Records Office
PLS,Public Library Service Headquarters
SOU,Souris Public Library
STP,St. Peter's Public Library
STR,Stratford Public Library
SUM,Summerside Rotary Library
TIG,Tignish Public Library
TYN,Tyne Valley Public Library
